lonR,latR,depR
-117.51128,35.66804,5.358
-117.51059,35.66744,5.392
-117.59931,35.569,6.215
-117.53639,35.74352,5.577
-117.59936,35.56881,6.35
-117.5742,35.74787,4.686
-117.59967,35.5686,6.366
-117.56677,35.7501,4.824
-117.5004,35.67663,5.563
-117.5988,35.56946,6.326
-117.54462,35.74359,6.848
-117.59844,35.57134,6.433
-117.57388,35.74792,4.739
-117.51936,35.71655,5.897
-117.51913,35.71665,5.867
-117.59852,35.57129,6.382
-117.50322,35.6759,5.356
-117.50368,35.68081,7.893
-117.58409,35.61153,6.793
-117.55526,35.74122,4.466
-117.47578,35.71034,6.299
-117.5994,35.56888,6.282
-117.59388,35.60003,3.583
-117.57438,35.748,4.761
-117.59836,35.57087,6.244
-117.4913,35.68387,6.24
-117.55563,35.735,3.893
-117.51021,35.68947,8.061
-117.59892,35.56999,6.441
-117.62121,35.57556,5.799
-117.4793,35.6639,4.659
-117.49429,35.68521,6.42
-117.59855,35.56946,6.301
-117.5393,35.7386,6.126
-117.59333,35.6037,4.994
-117.57203,35.76503,7.189
-117.50791,35.67057,6.025
-117.59977,35.56821,6.543
-117.5203,35.67456,7.805
-117.57896,35.62033,7.302
-117.49629,35.69627,6.377
-117.49159,35.67764,0.122
-117.48625,35.68227,6.333
-117.59324,35.60077,4.274
-117.57772,35.75207,6.441
-117.57026,35.74005,4.242
-117.56784,35.75942,7.099
-117.57013,35.76165,6.987
-117.56212,35.7735,6.757
-117.53671,35.74352,5.623
-117.55906,35.77375,6.291
-117.55886,35.77383,6.59
-117.62249,35.57354,5.866
-117.57203,35.76503,7.189
-117.49682,35.6835,5.786
-117.59641,35.5663,6.412
-117.49711,35.6841,6.353
-117.47573,35.67864,0.833
-117.58046,35.6099,6.337
-117.59566,35.60251,4.842
-117.55909,35.77417,6.696
-117.56092,35.7734,6.588
-117.57471,35.60438,5.677
-117.56004,35.74998,4.925
-117.59929,35.56901,6.273
-117.46784,35.66414,7.593
-117.57337,35.75306,6.277
-117.55829,35.74135,3.675
-117.47017,35.67491,6.723
-117.55567,35.73452,3.888
-117.56202,35.72152,6.83
-117.60278,35.56803,5.67
-117.53518,35.74408,5.493
-117.59273,35.60237,4.162
-117.59268,35.60234,4.154
-117.61299,35.58659,7.208
-117.60313,35.56765,5.649
-117.51698,35.69712,6.548
-117.53916,35.74343,6.943
-117.51287,35.67454,7.698
-117.52853,35.72116,5.717
-117.53834,35.74346,6.668
-117.59048,35.59868,4.5
-117.59256,35.60667,4.581
-117.52585,35.71669,5.447
-117.46631,35.67036,7.205
-117.519,35.71779,4.967
-117.61418,35.58371,5.488
-117.52529,35.71873,5.509
-117.59131,35.60298,4.912
-117.6251,35.57365,6.135
-117.5113,35.70236,6.758
-117.51449,35.71205,7.067
-117.56278,35.74514,3.639
-117.52077,35.67524,7.778
-117.49637,35.679,5.59
-117.49617,35.67953,5.529
-117.5216,35.72045,5.352
-117.47095,35.6754,6.717
-117.59677,35.57304,6.757
-117.60899,35.58572,7.319
-117.55927,35.7423,3.819
-117.47535,35.67151,6.332
-117.69634,35.89463,7.011
-117.61407,35.58842,7.216
-117.62334,35.57429,6.024
-117.47141,35.66347,7.375
-117.61974,35.57613,6.282
-117.62444,35.57328,6.108
-117.57868,35.60218,4.387
-117.5585,35.74692,4.546
-117.60192,35.56861,6.218
-117.52524,35.71626,4.871
-117.58358,35.59364,4.519
-117.59776,35.57175,6.694
-117.5827,35.61896,6.685
-117.49694,35.67851,5.72
-117.59803,35.5715,6.607
-117.59843,35.60098,4.852
-117.54399,35.74362,6.984
